"noAA Active region number,DATE when AR passes central meridan,TI"	ME	wh	"en AR passes central meridian (UTC),Detected by AIA 193 (Y/N),Detected by LASCO C2 (Y/N),CME WITHIN 24 HOURS? (Y/N),TIME of erruption ,Link to video ,TIME OF CME ,Evidence: ,Notes ,,"
"11283,6/9/11,18:00:37,yes,yes,yes,22:33:31,SEE TIME ,,,,,"			
"11364,6/12/11,20:47:41,yes,yes,yes,1:25:43,SEE TIME ,,,,,"			
"11312,10/10/11,19:33:32,yes,yes,yes,3:40,,4.20am ,,,,"			
"11309,10/10/11,19:33:32,no,no,no,n/a,no,no,,,,"			
"11313,10/10/11,19:33:32,no,no,no,n/a,no,no,,,,"			
"11316,16/10/11,19:42:31,no,no,no,n/a,no,no,,""noAA 11316, S12 W09"	(	X=	"147,Y=-293). Beta region."",Erruption time length ,"
"11317,16/10/11,19:42:31,no,no,no,n/a,no,no,,,,"			
"11319,16/10/11,19:42:31,no,no,no,n/a,no,no,no,,,"			
"11321,18/10/11,19:30:31,no,no,no,n/a,no,no,,,,"			
"11327,21/10/11,17:05:06,no,no,no,n/a,no,no,no,,,"			
"11332,30/10/11,20:50:44,no,no,no,n/a,no,no,no,,,"			
"11339,11/11/11,20:39:28,yes,yes,yes,4:24,,,,,,"			
"11345,11/11/11,21:39:28,yes,yes,yes,17:20,,,,end of CME 18:00,,"			
"11340,9/11/11,20:34:28,no,no,no,n/a,,,,,,"			
"11347,16/11/11,20:45:27,no,no,no,,,,,,,"			
"11354,20/11/11,20:51:27,yes,yes,yes,22:41:20,,,,23:21:20,,"			
"11349,16/11/11,20:45:27,no,no,no,n/a,,,,,,"			
"11350,20/11/11,20:51:27,yes,yes,yes,23:05:00,,,,,,"			
"11352,20/11/11,20:51:27,no,no,yes,n/a,,,,,,"			
"11374,14/12/11,20:58:55,yes,yes,yes,22:54:19,,,,date: 14/12/11,o"	ve	r 5	"hours ,"
"11375,14/12/11,21:58:55,no,no,no, n/a,,,,,,"			
"11390,30/12/11,17:52:18,yes,yes,yes,19:24:07,,,,date: 30/12/11,o"	ve	r 5	"hours,"
"11386,30/12/11,17:52:18,yes,yes,yes,20:53,,,,date: 30/12/11,over"	8	ho	"urs ends at 04.00 next day 31st Dec ,"
"11290,12/9/11,20:31:21,no,no,no,n/a,,,,,,"			
"11289,12/9/11,20:31:21,no,no,no,n/a,,,,,,"			
"11290,12/9/11,21:31:21,no,no,no,n/a,,,,,,"			
"11294,14/9/11,19:47:51,no,no,no,n/a,,,,,,"			
"11292,14/9/11,20:47:51,yes,yes,yes,14:39,,,,date: 15/09/11,,"			
"11307,5/10/11,19:56:48,no,no,no,n/a,,,,,,"			
"11388,1/1/12,17:52:18,yes,yes,yes,0:00:00,,,,date 02/01/12,end o"	f	err	"uption 23:59:59,"
"11389,1/1/12,16:52:18,yes,yes,yes,22:07,,,,date 91/01/12,,"			
"11390,1/1/12,17:52:18,no,no,no,n/a,,,,,,"			
"11392,5/1/12,17:43:06,yes,yes,yes,11:51,,,,5/1/12,,"			
"11395,13/1/12,17:32:18,no,no,no,n/a,,,,,,"			
"11400,15/1/12,17:35:06,no,no,no,n/a,,,,,,"			
"11397,15/1/12,17:35:06,no,no,no,n/a,,,,,,"			
"11396,15/1/12,18:35:06,no,no,no,n/a,,,,,,"			
"11403,18/1/12,11:42:18,yes,yes,yes,19:00,,,,18/01/12,end of erru"	pt	ion	"23:59 ,"
"11399,18/1/12,11:42:18,yes,yes,yes,3.34,,,,19/01/12,,"			
"11409,26/1/12,17:52:18,yes,yes,yes,n/a,,,,,,"			
"11408,26/1/12,17:52:18,yes,yes,yes,15:09,,,,,,"			
"11411,30/1/12,11:35:06,no,no,no,n/a,,,,,,"			
"11416,12/2/12,11:51:30,yes,yes,yes,17:48,,,,12/2/12,,"			
"11417,15/2/12,17:26:18,yes,yes,yes,7:00,,,,16/2/12,,"			
"11418,15/2/12,17:26:18,yes,yes,yes,7:24,,,,16/2/12,,"			
"11420,19/2/12,11:33:06,yes,yes,yes,18:00,,,,19/2/12,,"			
"11421,23/2/12,17:38:18,no,no,no,n/a,,,,,,"			
"11422,19/2/12,17:32:18,yes,yes,yes,21:24,,,,,,"			
"11433,16/3/12,11:06:18,no,no,no,n/a,,,,,,"			
"11432,16/3/12,11:06:18,no,no,no,n/a,,,,,,"			
"11437,19/3/12,16:40:18,no,no,no,n/a,,,,,,"			
"11436,19/3/12,16:40:18,yes,yes,yes,16.54,,,,,,"			
"11438,26/3/12,16:58:18,yes,yes,yes,23:54,,,,,,"			
"11445,30/3/12,16:54:18,yes,yes,yes,1:23,,,,31/3/12,,"			
"11450,4/4/12,16:47:06,yes,yes,yes,9.36,,,,5/4/12,,"			
"11455,13/4/12,10:51:30,yes,yes,yes,8:24,,,,14/4/12,,"			
"11456,13/4/12,10:51:30,yes,yes,yes,16:36,,,,13/4/12,,"			
"11454,16/4/12,16:21:06,no,no,no,n/a,,,,,,"			
"11457,17/4/12,16:21:06,no,no,no,n/a,,,,,,"			
"11459,20/4/12,16:18:18,yes,yes,yes,19:00,,,,20/04/12,,"			
"11458,20/4/12,16:18:18,no,no,no,n/a,,,,,,"			
"11461,22/4/12,16:43:06,yes,yes,yes,18:39,,,,22/4/12,,"			
"11465,22/4/12,16:43:06,no,no,no,n/a,,,,,,"			
"11467,30/4/12,16:39:06,yes,yes,yes,15:09,,,,30/04/12,,"			
"11469,30/4/12,16:39:06,yes,yes,yes,15:39,,,,30/04/12,,"			
"11484,18/5/12,10:39:06,yes,yes,yes,15:53,,,,18/05/12,,"			
"11485,18/5/12,10:17:06,yes,yes,yes,2:08,,,,19/05/12,,"			
"11489,29/5/12,10:45:06,yes,yes,yes,4:53,,,,30/5/12,,"			
"11490,30/5/12,10:45:06,yes,yes,yes,16:08,,,,29/05/12,,"			
"11486,21/5/12,10:19:06,yes,yes,yes,15:23,,,,21/05/12,,"			
"11492,30/5/12,10:45:06,yes,yes,yes,2:39,,,,31/05/12,,"			
"11495,1/6/12,17:06:18,no,no,no,n/a,,,,,,"			
"11497,2/6/12,10:36:18,yes,yes,yes,23:53,,,,2/6/12,,"			
"11507,13/6/12,15:29:56,yes,yes,yes,15:34,,,,13/6/12,,"			
"11506,15/6/12,17:32:56,no,no,no,n/a,,,,,,"			
"11510,20/6/12,12:39:41,no,no,no,n/a,,,,,,"			
"11511,23/6/12,20:22:26,yes,yes,yes,18:42,,,,23/6/12,,"			
"11512,28/6/12,20:20:11,yes,yes,yes,4:45,,,,28/6/12,,"			
"11518,9/7/12,19:59:56,no,no,no,n/a,,,,,,"			
"11523,15/7/12,21:02:56,yes,yes,yes,16:48,,,,21/07/12,,"			
"11526,26/7/12,21:38:11,yes,yes,yes,6:25,,,,27/07/12,,"			
